# 格式：图书ID|标题|作者|类别|描述|评分|评价数量
1|活着|余华|文学|《活着》是余华的代表作，讲述了农村人福贵悲惨的人生遭遇。|4.7|1000
2|三体|刘慈欣|科幻|《三体》是刘慈欣创作的系列长篇科幻小说，由《三体》、《三体Ⅱ·黑暗森林》、《三体Ⅲ·死神永生》组成。|4.8|1200
3|平凡的世界|路遥|文学|《平凡的世界》是路遥创作的一本百万字的小说，全景式地表现了中国当代城乡社会生活。|4.9|1500
4|围城|钱钟书|文学|《围城》是钱钟书所著的长篇小说，被誉为中国现代文学史上的经典。|4.6|800
5|解忧杂货店|东野圭吾|小说|《解忧杂货店》是日本作家东野圭吾创作的长篇小说，讲述了一家可以解决人们烦恼的神奇杂货店的故事。|4.5|950
6|红楼梦|曹雪芹|古典文学|《红楼梦》是中国古典四大名著之一，描绘了贾、史、王、薛四大家族的兴衰。|4.9|2000
7|百年孤独|加西亚·马尔克斯|世界文学|《百年孤独》是哥伦比亚作家加西亚·马尔克斯的代表作，描写了布恩迪亚家族七代人的传奇故事。|4.7|1100
8|人类简史|尤瓦尔·赫拉利|历史|《人类简史》是以色列历史学家尤瓦尔·赫拉利的著作，讲述了人类从远古到现代的发展历程。|4.6|900
9|明朝那些事儿|当年明月|历史|《明朝那些事儿》是一部关于明朝历史的通俗读物，以轻松的笔触讲述了明朝的历史。|4.5|850
10|算法导论|Thomas H. Cormen等|计算机科学|《算法导论》是一本系统介绍算法的书籍，被誉为算法领域的圣经。|4.8|700
11|深入理解计算机系统|Randal E. Bryant等|计算机科学|《深入理解计算机系统》是一本介绍计算机系统底层原理的经典教材。|4.9|650
12|哈利·波特与魔法石|J.K.罗琳|奇幻|《哈利·波特与魔法石》是J.K.罗琳创作的魔幻小说系列的第一部。|4.7|1800
13|小王子|安托万·德·圣-埃克苏佩里|童话|《小王子》是法国作家安托万·德·圣-埃克苏佩里创作的童话小说。|4.8|1600
14|追风筝的人|卡勒德·胡赛尼|小说|《追风筝的人》是阿富汗裔美国作家卡勒德·胡赛尼的成名作。|4.6|950
15|白夜行|东野圭吾|推理|《白夜行》是日本作家东野圭吾创作的长篇小说，讲述了一对少年少女为了彼此不惜走向犯罪深渊的故事。|4.7|1050
16|嫌疑人X的献身|东野圭吾|推理|一场天才数学家与天才物理学家的智力对决。|4.8|900
17|解体诸因|阿西莫夫|科幻|阿西莫夫机器人系列短篇集，探讨人工智能伦理。|4.6|500
18|银河帝国：基地|阿西莫夫|科幻|银河帝国系列开山之作，描绘庞大宇宙文明兴衰。|4.7|800
19|福尔摩斯探案集|阿瑟·柯南·道尔|推理|世界著名侦探小说集，塑造了福尔摩斯形象。|4.9|2000
20|时间简史|斯蒂芬·霍金|科普|通俗讲解宇宙起源与物理学前沿。|4.7|1200
